img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10
Pieza_02_foto28;2;28;52.601351351351354;85.65033783783784;41.402027027027025;44.84375;35.477195945945944;89.1891891891892;69.56925675675676;19.80152027027027;33.758445945945944;0.0
Pieza_02_foto287;2;287;0.0;40.02403846153846;10.653044871794872;76.95913461538461;29.87580128205128;36.76682692307692;35.64102564102564;23.814102564102566;92.60817307692308;31.466346153846153
Pieza_02_foto288;2;288;12.225694444444445;38.138888888888886;71.07291666666667;77.51388888888889;30.010416666666668;9.0625;13.565972222222221;40.388888888888886;61.513888888888886;39.49652777777778
Pieza_02_foto29;2;29;19.072265625;16.494140625;35.64453125;24.43359375;0.0;44.84375;80.09765625;100.0;21.875;0.0
Pieza_02_foto306;2;306;63.682065217391305;98.62771739130434;100.0;82.04483695652173;47.62907608695652;86.57608695652173;73.02309782608695;61.182065217391305;19.293478260869566;0.0
Pieza_02_foto307;2;307;0.0;22.060185185185187;57.442129629629626;56.90393518518518;49.69328703703704;11.440972222222221;55.82175925925926;76.17476851851852;51.64930555555556;1.4641203703703705
Pieza_02_foto323;2;323;45.08814102564103;74.9599358974359;72.98076923076923;49.89182692307692;12.960737179487179;59.51923076923077;50.592948717948715;38.28125;64.53926282051282;18.12099358974359
Pieza_02_foto324;2;324;76.94444444444444;76.8113425925926;23.211805555555557;28.92939814814815;14.84375;82.37847222222223;99.87847222222223;86.32523148148148;18.038194444444443;0.0
Pieza_02_foto341;2;341;38.41638513513514;93.77111486486487;94.25675675675676;89.78462837837837;2.673141891891892;43.49662162162162;57.998310810810814;75.66722972972973;84.8733108108108;19.256756756756758
Pieza_02_foto342;2;342;50.817708333333336;41.197916666666664;89.13020833333333;95.015625;14.697916666666666;94.5625;72.80729166666667;64.33333333333333;58.916666666666664;37.9375
Pieza_02_foto358;2;358;12.147727272727273;59.55113636363637;85.42897727272727;63.14204545454545;54.76704545454545;12.715909090909092;68.33238636363636;87.29261363636364;85.26420454545455;20.264204545454547
Pieza_02_foto359;2;359;0.0;23.486328125;77.03125;80.849609375;89.931640625;0.0;1.611328125;97.65625;100.0;100.0
Pieza_02_foto373;2;373;27.1875;31.69921875;49.580078125;14.794921875;0.0;30.625;69.140625;57.275390625;10.33203125;0.0
Pieza_02_foto374;2;374;12.614329268292684;64.2530487804878;56.60060975609756;56.03658536585366;13.113567073170731;3.433689024390244;47.141768292682926;47.454268292682926;26.524390243902438;10.796493902439025
Pieza_02_foto381;2;381;1.1075367647058822;49.416360294117645;36.7233455882353;46.46139705882353;3.1341911764705883;2.8033088235294117;35.193014705882355;71.3189338235294;21.332720588235293;0.0
Pieza_02_foto382;2;382;9.54861111111111;72.33940972222223;59.943576388888886;45.62934027777778;16.46701388888889;6.493055555555555;59.73524305555556;45.5078125;18.854166666666668;2.4305555555555554
Pieza_02_foto389;2;389;1.26953125;45.2734375;25.3564453125;29.814453125;12.63671875;0.7080078125;66.30859375;33.359375;59.3798828125;8.7646484375
Pieza_02_foto390;2;390;0.0;0.0;37.109375;39.716796875;27.03125;0.0;0.0;82.36328125;79.052734375;65.3125
