img_name;folder;image;h_1;h_2;h_3;h_4;h_5;h_6;h_7;h_8;h_9;h_10;h_11;h_12;h_13;h_14;h_15;h_16;h_17;h_18;h_19;h_20;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20
Pieza_05_foto235;5;235;53;53;53;52;52;52;51;53;53;58;58;54;62;62;62;53;53;51;51;51;82.8125;82.8125;82.34080188679245;81.25;81.25;81.25;79.6875;81.36792452830188;82.8125;88.57758620689656;89.87068965517241;84.375;87.07157258064517;96.875;85.53427419354838;82.8125;80.15919811320755;79.6875;79.6875;79.6875
Pieza_05_foto27;5;27;149;148;144;138;132;128;123;118;60;96;96;96;91;89;69;69;69;65;58;54;42.281879194630875;42.567567567567565;43.75;45.65217391304348;47.72727272727273;49.21875;51.21951219512195;53.10734463276836;95.23809523809524;62.74801587301587;65.625;65.625;69.23076923076923;69.03870162297129;88.72785829307568;91.30434782608695;91.30434782608695;91.52625152625153;90.0656814449918;85.71428571428571
Pieza_05_foto28;5;28;324;324;307;307;307;269;235;237;238;238;197;197;202;245;246;246;280;280;312;312;19.753086419753085;19.753086419753085;20.846905537459282;20.846905537459282;20.846905537459282;23.79182156133829;27.23404255319149;27.0042194092827;26.89075630252101;26.89075630252101;32.48730964467005;32.48730964467005;31.683168316831683;26.122448979591837;26.016260162601625;26.016260162601625;22.857142857142858;22.857142857142858;20.512820512820515;20.512820512820515
Pieza_05_foto4;5;4;105;105;105;105;96;93;89;82;76;76;70;70;60;50;50;45;44;44;34;24;60.95238095238095;60.95238095238095;60.95238095238095;60.95238095238095;66.66666666666667;68.81720430107526;71.91011235955057;78.04878048780488;84.21052631578948;84.21052631578948;91.42857142857143;90.35714285714286;88.80208333333333;78.125;75.40625;68.95833333333333;68.75;68.75;53.125;37.5
Pieza_05_foto40;5;40;279;279;279;255;255;255;255;181;181;181;176;185;205;205;191;192;232;232;279;279;22.939068100358423;22.939068100358423;22.939068100358423;25.098039215686274;25.098039215686274;25.098039215686274;25.098039215686274;35.35911602209945;35.35911602209945;35.35911602209945;36.36363636363637;34.5945945945946;31.21951219512195;31.21951219512195;33.50785340314136;33.333333333333336;27.586206896551722;27.586206896551722;22.939068100358423;22.939068100358423
Pieza_05_foto82;5;82;173;173;170;169;164;158;120;120;109;131;131;131;123;105;103;102;102;94;79;56;36.994219653179194;36.994219653179194;37.64705882352941;37.8698224852071;39.02439024390244;40.50632911392405;53.333333333333336;53.333333333333336;58.71559633027523;48.85496183206107;48.85496183206107;48.85496183206107;52.03252032520325;60.95238095238095;62.13592233009709;62.745098039215684;62.745098039215684;68.08510638297872;71.20253164556962;87.5
Pieza_05_foto88;5;88;52;52;52;53;53;53;53;53;55;55;55;56;56;58;58;59;61;61;62;62;81.25;81.25;81.25;81.45636792452831;82.8125;82.8125;82.8125;82.8125;84.48863636363636;85.9375;85.9375;86.57924107142857;87.5;90.30172413793103;90.625;90.9427966101695;95.13319672131148;95.3125;95.46370967741936;96.875
Pieza_06_foto0108;6;108;90;90;90;90;90;90;79;79;81;82;83;90;90;90;79;53;53;53;49;22;71.11111111111111;71.11111111111111;71.11111111111111;71.11111111111111;71.11111111111111;71.11111111111111;81.0126582278481;81.0126582278481;79.01234567901234;78.04878048780488;77.10843373493977;71.11111111111111;71.11111111111111;71.11111111111111;72.94303797468355;81.25;82.8125;80.24764150943396;50.47831632653061;34.375
Pieza_06_foto012;6;12;77;77;71;68;69;70;70;68;70;71;72;72;69;65;65;65;65;65;66;66;52.780032467532465;49.57386363636363;41.659330985915496;40.533088235294116;41.009963768115945;43.214285714285715;41.71875;40.533088235294116;42.83482142857143;43.92605633802817;45.920138888888886;43.85850694444444;37.97554347826087;36.5625;35.625;35.79326923076923;36.5625;36.5625;37.83143939393939;37.878787878787875
Pieza_06_foto0123;6;123;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444;44.44444444444444
